date,total_gross
2009-01-31,1004384345
2009-02-28,759041029
2009-03-31,635254136
2009-04-30,684075289
2009-05-31,1005156905
2009-06-30,1072388036
2009-07-31,1140102955
2009-08-31,887921528
2009-09-30,529840351
2009-10-31,678562287
2009-11-30,974913989
2009-12-31,1056974257
2010-01-31,1041195764
2010-02-28,735953051
2010-03-31,813489741
2010-04-30,738864700
2010-05-31,889486267
2010-06-30,1037596323
2010-07-31,1300917722
2010-08-31,854522045
2010-09-30,523788505
2010-10-31,670644194
2010-11-30,883379781
2010-12-31,875167135
2011-01-31,745322358
2011-02-28,645876609
2011-03-31,665491373
2011-04-30,778357633
2011-05-31,1018566843
2011-06-30,993919294
2011-07-31,1380301220
2011-08-31,876824828
2011-09-30,587379177
2011-10-31,578741323
2011-11-30,837375192
2011-12-31,863875914
2012-01-31,817499804
2012-02-29,805013672
2012-03-31,926755668
2012-04-30,701125283
2012-05-31,1009252552
2012-06-30,1043340256
2012-07-31,1300611744
2012-08-31,787196777
2012-09-30,553026937
2012-10-31,655351430
2012-11-30,1080165599
2012-12-31,949018886
2013-01-31,799656689
2013-02-28,606127452
2013-03-31,812384307
2013-04-30,621317111
2013-05-31,1125887696
2013-06-30,1225432566
2013-07-31,1352735706
2013-08-31,899990911
2013-09-30,555380747
2013-10-31,615687444
2013-11-30,1055806831
2013-12-31,1041129132
2014-01-31,886731658
2014-02-28,688234551
2014-03-31,792184036
2014-04-30,753530331
2014-05-31,991403383
2014-06-30,1029217919
2014-07-31,949812715
2014-08-31,988163551
2014-09-30,493856289
2014-10-31,745119980
2014-11-30,948617216
2014-12-31,888994791
2015-01-31,984417350
2015-02-28,739662459
2015-03-31,685188869
2015-04-30,762242317
2015-05-31,1058975957
2015-06-30,1220272396
2015-07-31,1163577280
2015-08-31,823383938
2015-09-30,596769954
2015-10-31,697700572
2015-11-30,877833655
2015-12-31,1295341639
2016-01-31,1016868174
2016-02-29,775521752
2016-03-31,933560634
2016-04-30,763647257
2016-05-31,924281078
2016-06-30,1074419134
2016-07-31,1361563085
2016-08-31,1006628966
2016-09-30,571481675
2016-10-31,647681368
2016-11-30,950392493
2016-12-31,1184152456
2017-01-31,952768442
2017-02-28,767161594
2017-03-31,1139282945
2017-04-30,804505419
2017-05-31,827817952
2017-06-30,1045618827
2017-07-31,1197062851
2017-08-31,645422061
2017-09-30,688193738
2017-10-31,547143506
2017-11-30,998794823
2017-12-31,1313001438
2018-01-31,950006849
2018-02-28,990191670
2018-03-31,883584604
2018-04-30,1016701929
2018-05-31,1033340182
2018-06-30,1266014727
2018-07-31,1190285364
2018-08-31,847086667
2018-09-30,654600721
2018-10-31,821324993
2018-11-30,1042052649
2018-12-31,1064428011
2019-01-31,805348587
2019-02-28,607363545
2019-03-31,953969995
2019-04-30,1026467915
2019-05-31,1071070011
2019-06-30,1102652849
2019-07-31,1282859532
2019-08-31,827662530
2019-09-30,676702059
2019-10-31,770040243
2019-11-30,951587674
2019-12-31,1138074312
2020-01-31,892575791
2020-02-29,631281097
2020-03-31,251322900
2020-04-30,34369
2020-05-31,922691
2020-06-30,2520925
2020-07-31,2749765
2020-08-31,23437509
2020-09-30,74486364
2020-10-31,61515842
2020-11-30,61756949
2020-12-31,67365053
2021-01-31,64870689
2021-02-28,56459410
2021-03-31,111100386
2021-04-30,184347954
2021-05-31,186906996
2021-06-30,345853881
2021-07-31,531957137
2021-08-31,379499259
2021-09-30,339227799
2021-10-31,612440649
2021-11-30,522938012
2021-12-31,915595114
2022-01-31,387479983
2022-02-28,362137815
2022-03-31,585973032
2022-04-30,569750836
2022-05-31,783565920
2022-06-30,966542952
2022-07-31,1132114884
2022-08-31,465098951
2022-09-30,319739196
2022-10-31,467760341
2022-11-30,626599313
2022-12-31,673783191
2023-01-31,582338890
2023-02-28,491622968
2023-03-31,634024476
2023-04-30,897423444
2023-05-31,772264693
2023-06-30,1001353816
2023-07-31,1360111119
2023-08-31,809982987
2023-09-30,470527906
2023-10-31,553476326
2023-11-30,546794119
2023-12-31,736130401
2024-01-31,491592537
2024-02-29,358100585
2024-03-31,745720427
2024-04-30,423485051
2024-05-31,546385008
2024-06-30,951702323
2024-07-31,1172719512
2024-08-31,887831206
2024-09-30,589600098
2024-10-31,460697258
2024-11-30,76637915
