date,total_gross
2009-01-04,212405828
2009-01-11,185334006
2009-01-18,233073879
2009-01-25,230406015
2009-02-01,165387085
2009-02-08,190285821
2009-02-15,224218185
2009-02-22,205280301
2009-03-01,144723342
2009-03-08,143066697
2009-03-15,129444438
2009-03-22,138113377
2009-03-29,177570729
2009-04-05,190521790
2009-04-12,184591305
2009-04-19,154574755
2009-04-26,145034325
2009-05-03,185620037
2009-05-10,188572639
2009-05-17,182516231
2009-05-24,230036076
2009-05-31,247134843
2009-06-07,224979947
2009-06-14,214285894
2009-06-21,220200834
2009-06-28,355243803
2009-07-05,304571975
2009-07-12,234024681
2009-07-19,303840370
2009-07-26,231374798
2009-08-02,207116430
2009-08-09,209247597
2009-08-16,213802328
2009-08-23,195860434
2009-08-30,175136605
2009-09-06,135166770
2009-09-13,139644271
2009-09-20,124246999
2009-09-27,120844098
2009-10-04,131644705
2009-10-11,137414854
2009-10-18,177036097
2009-10-25,150738908
2009-11-01,129969352
2009-11-08,150388154
2009-11-15,181507610
2009-11-22,292471676
2009-11-29,313317309
2009-12-06,136032530
2009-12-13,124477919
2009-12-20,169033823
2009-12-27,403405671
2010-01-03,452235051
2010-01-10,224438166
2010-01-17,218404432
2010-01-24,216242030
2010-01-31,163553046
2010-02-07,147642492
2010-02-14,237748534
2010-02-21,199627871
2010-02-28,150934154
2010-03-07,228403171
2010-03-14,199377660
2010-03-21,176824496
2010-03-28,163211636
2010-04-04,242285644
2010-04-11,197321971
2010-04-18,149538435
2010-04-25,132352553
2010-05-02,127216616
2010-05-09,202189123
2010-05-16,184673511
2010-05-23,190242018
2010-05-30,208204262
2010-06-06,207558092
2010-06-13,205114955
2010-06-20,262873611
2010-06-27,269241237
2010-07-04,378209736
2010-07-11,333994308
2010-07-18,276060907
2010-07-25,260204281
2010-08-01,227588474
2010-08-08,213808250
2010-08-15,211822646
2010-08-22,200547066
2010-08-29,164600524
2010-09-05,143000631
2010-09-12,124764454
2010-09-19,121025690
2010-09-26,127105627
2010-10-03,121735592
2010-10-10,119623910
2010-10-17,164629938
2010-10-24,167303502
2010-10-31,126654970
2010-11-07,182046456
2010-11-14,168148500
2010-11-21,222242055
2010-11-28,292279289
2010-12-05,119581541
2010-12-12,115934446
2010-12-19,165071316
2010-12-26,253403245
2011-01-02,350541581
2011-01-09,168081914
2011-01-16,164128866
2011-01-23,155372895
2011-01-30,139723204
2011-02-06,115509468
2011-02-13,175247082
2011-02-20,188279761
2011-02-27,167135088
2011-03-06,160129694
2011-03-13,159981313
2011-03-20,160938410
2011-03-27,156500291
2011-04-03,157925123
2011-04-10,150983638
2011-04-17,157338467
2011-04-24,187676721
2011-05-01,199540030
2011-05-08,203611736
2011-05-15,184724302
2011-05-22,208732226
2011-05-29,308725052
2011-06-05,262815378
2011-06-12,201427301
2011-06-19,214850575
2011-06-26,247723545
2011-07-03,340490122
2011-07-10,272024401
2011-07-17,336731514
2011-07-24,300072085
2011-07-31,270713615
2011-08-07,258517822
2011-08-14,242483184
2011-08-21,199030065
2011-08-28,144489294
2011-09-04,146127276
2011-09-11,131658215
2011-09-18,126328006
2011-09-25,149097028
2011-10-02,133375942
2011-10-09,120711645
2011-10-16,120254089
2011-10-23,143019156
2011-10-30,118323148
2011-11-06,144365574
2011-11-13,165595884
2011-11-20,247739932
2011-11-27,264835479
2011-12-04,110861047
2011-12-11,96410718
2011-12-18,142477486
2011-12-25,218019227
2012-01-01,369630235
2012-01-08,230358165
2012-01-15,166240280
2012-01-22,188810890
2012-01-29,164290782
2012-02-05,149410924
2012-02-12,224458506
2012-02-19,225946055
2012-02-26,197080696
2012-03-04,201061097
2012-03-11,177989733
2012-03-18,158164453
2012-03-25,248989142
2012-04-01,205470049
2012-04-08,183845759
2012-04-15,162273001
2012-04-22,162625052
2012-04-29,146605774
2012-05-06,285766190
2012-05-13,248210090
2012-05-20,198178824
2012-05-27,204167512
2012-06-03,221900980
2012-06-10,236339107
2012-06-17,205212778
2012-06-24,228501671
2012-07-01,289244473
2012-07-08,390875514
2012-07-15,260893739
2012-07-22,314555296
2012-07-29,238309339
2012-08-05,192694424
2012-08-12,205837819
2012-08-19,207084505
2012-08-26,152851853
2012-09-02,142032682
2012-09-09,114917562
2012-09-16,104463427
2012-09-23,114113023
2012-09-30,144897509
2012-10-07,168770748
2012-10-14,174216246
2012-10-21,164213127
